         1511993 function calls (1485993 primitive calls) in 15.543 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.027    0.007 _base.py:1277(__clear)
    24/23    0.022    0.001    0.027    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.027    0.027 colors.py:1(<module>)
       45    0.001    0.000    0.026    0.001 axis.py:59(__init__)
      265    0.018    0.000    0.026    0.000 typing.py:260(_collect_type_parameters)
        1    0.000    0.000    0.026    0.026 _fontconfig_pattern.py:1(<module>)
       31    0.004    0.000    0.026    0.001 __init__.py:884(_rc_params_in_file)
        3    0.000    0.000    0.026    0.009 core.py:1(<module>)
    20/16    0.000    0.000    0.025    0.002 axis.py:1126(set_clip_path)
  128/117    0.000    0.000    0.025    0.000 _docstring.py:122(__call__)
        1    0.000    0.000    0.024    0.024 _char_codes.py:1(<module>)
       50    0.000    0.000    0.024    0.000 typing.py:580(__getitem__)
    28/20    0.000    0.000    0.024    0.001 axis.py:534(__get__)
       50    0.001    0.000    0.023    0.000 typing.py:812(Literal)
6191/4070    0.005    0.000    0.023    0.000 {built-in method __new__ of type object at 0x7f6a7dad1ed0}
        1    0.001    0.001    0.022    0.022 backend_qt.py:1(<module>)
      729    0.000    0.000    0.021    0.000 inspect.py:3338(signature)
      391    0.003    0.000    0.021    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       21    0.001    0.000    0.021    0.001 path.py:607(get_extents)
      729    0.000    0.000    0.021    0.000 inspect.py:3062(from_callable)
       14    0.000    0.000    0.021    0.001 _docstring.py:73(__missing__)
  864/729    0.003    0.000    0.021    0.000 inspect.py:2473(_signature_from_callable)
    24/20    0.000    0.000    0.020    0.001 axis.py:899(reset_ticks)
    23/17    0.000    0.000    0.020    0.001 axis.py:367(__init__)
        1    0.000    0.000    0.019    0.019 npyio.py:1(<module>)
        1    0.000    0.000    0.019    0.019 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.019    0.019 _axes.py:67(Axes)
    22/16    0.000    0.000    0.019    0.001 axis.py:428(__init__)
