cuda
Execution time: 3.6003365516662598 seconds
         2518875 function calls (2475024 primitive calls) in 7.201 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.090    0.090 ImageFile.py:563(_encode_tile)
      139    0.001    0.000    0.090    0.001 inspect.py:1052(findsource)
        3    0.090    0.030    0.090    0.030 {method 'encode' of 'ImagingEncoder' objects}
     4542    0.027    0.000    0.088    0.000 <frozen importlib._bootstrap>:304(acquire)
     1127    0.008    0.000    0.088    0.000 _ops.py:1214(__getattr__)
  354/352    0.004    0.000    0.086    0.000 inspect.py:1000(getmodule)
      227    0.004    0.000    0.085    0.000 dataclasses.py:470(add_fns_to_class)
        1    0.000    0.000    0.084    0.084 patches.py:1(<module>)
       36    0.002    0.000    0.084    0.002 axis.py:1276(_update_ticks)
     3420    0.006    0.000    0.083    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
    94/62    0.001    0.000    0.083    0.001 _ops.py:291(fallthrough)
      210    0.010    0.000    0.083    0.000 bezier.py:283(axis_aligned_extrema)
     1001    0.083    0.000    0.083    0.000 {built-in method torch.triu}
        1    0.000    0.000    0.082    0.082 axes3d.py:1(<module>)
      227    0.029    0.000    0.081    0.000 artist.py:1511(get_setters)
     7479    0.010    0.000    0.081    0.000 __init__.py:330(_compile)
        2    0.000    0.000    0.080    0.040 _base.py:1(<module>)
     1067    0.001    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
       38    0.000    0.000    0.080    0.002 axis.py:1644(get_major_ticks)
      895    0.007    0.000    0.080    0.000 __init__.py:74(_add_op_to_registry)
     1067    0.004    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        1    0.000    0.000    0.075    0.075 lines.py:1(<module>)
        1    0.000    0.000    0.074    0.074 plot.py:4(prep_figure)
      548    0.001    0.000    0.074    0.000 __init__.py:213(decomposition_decorator)
        2    0.000    0.000    0.074    0.037 pyplot.py:1381(subplot)
        1    0.000    0.000    0.073    0.073 _jit_internal.py:1(<module>)
        4    0.071    0.018    0.071    0.018 {method 'cpu' of 'torch._C.TensorBase' objects}
        2    0.000    0.000    0.070    0.035 figure.py:644(add_subplot)
        2    0.000    0.000    0.070    0.035 _base.py:609(__init__)
212054/212006    0.056    0.000    0.068    0.000 {built-in method builtins.isinstance}
     1359    0.023    0.000    0.067    0.000 inspect.py:2373(_signature_from_function)
     1644    0.011    0.000    0.067    0.000 typing.py:1423(__init__)
     1329    0.014    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
        9    0.000    0.000    0.066    0.007 _base.py:777(__init_subclass__)
        1    0.000    0.000    0.065    0.065 dataloader.py:1(<module>)
  997/705    0.001    0.000    0.065    0.000 typing.py:574(__getitem__)
      255    0.002    0.000    0.064    0.000 _compiler.py:743(compile)
      569    0.000    0.000    0.063    0.000 __init__.py:222(register)
       45    0.002    0.000    0.062    0.001 axis.py:59(__init__)
     4217    0.018    0.000    0.062    0.000 _ops.py:1009(_has_script_object_arg)
