CMDLINE /home/kilianp/Documents/KTH/Courses/High_Performance_Computing_Introduction/hpc-project/.venv/bin/python3 runner.py -N 1000
MEM 0.523438 1739815264.3971
MEM 42.042969 1739815264.4973
MEM 57.812500 1739815264.5976
MEM 86.042969 1739815264.6980
MEM 142.003906 1739815264.7982
MEM 223.425781 1739815264.8985
MEM 222.425781 1739815264.9989
MEM 208.050781 1739815265.0991
MEM 220.371094 1739815265.1994
MEM 215.343750 1739815265.2996
MEM 220.453125 1739815265.3998
MEM 223.121094 1739815265.5001
MEM 209.535156 1739815265.6003
MEM 218.183594 1739815265.7005
MEM 218.398438 1739815265.8007
MEM 215.371094 1739815265.9009
MEM 220.476562 1739815266.0012
MEM 208.117188 1739815266.1014
MEM 215.363281 1739815266.2016
MEM 216.925781 1739815266.3018
MEM 223.191406 1739815266.4021
MEM 215.402344 1739815266.5023
MEM 216.707031 1739815266.6025
MEM 223.183594 1739815266.7027
MEM 215.398438 1739815266.8029
MEM 222.503906 1739815266.9031
MEM 216.445312 1739815267.0033
MEM 223.226562 1739815267.1035
MEM 215.437500 1739815267.2037
MEM 222.800781 1739815267.3039
MEM 216.492188 1739815267.4041
MEM 223.226562 1739815267.5044
MEM 215.441406 1739815267.6046
MEM 222.550781 1739815267.7048
MEM 215.464844 1739815267.8050
MEM 223.015625 1739815267.9052
MEM 215.488281 1739815268.0054
MEM 220.597656 1739815268.1056
MEM 214.992188 1739815268.2058
MEM 218.507812 1739815268.3061
MEM 215.484375 1739815268.4063
MEM 220.593750 1739815268.5065
MEM 208.230469 1739815268.6068
MEM 215.519531 1739815268.7070
MEM 222.628906 1739815268.8073
MEM 215.542969 1739815268.9075
MEM 223.308594 1739815269.0078
MEM 215.523438 1739815269.1080
MEM 222.628906 1739815269.2082
MEM 215.542969 1739815269.3084
MEM 223.355469 1739815269.4086
MEM 215.566406 1739815269.5089
MEM 222.675781 1739815269.6091
MEM 215.585938 1739815269.7093
MEM 223.351562 1739815269.8096
MEM 223.945312 1739815269.9098
MEM 208.300781 1739815270.0100
MEM 215.593750 1739815270.1103
MEM 223.726562 1739815270.2105
