         1570618 function calls (1544761 primitive calls) in 62.714 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.040    0.020 axis.py:2165(_set_tick_locations)
    23/17    0.000    0.000    0.038    0.002 axis.py:367(__init__)
    23/22    0.000    0.000    0.037    0.002 <frozen importlib._bootstrap_external>:1314(create_module)
        1    0.000    0.000    0.037    0.037 axes3d.py:1(<module>)
     7022    0.004    0.000    0.037    0.000 __init__.py:330(_compile)
        1    0.000    0.000    0.036    0.036 _base.py:1(<module>)
        1    0.000    0.000    0.036    0.036 patches.py:1(<module>)
6181/4060    0.006    0.000    0.036    0.000 {built-in method __new__ of type object at 0x7ff99d0d1ed0}
      227    0.012    0.000    0.035    0.000 artist.py:1511(get_setters)
    22/16    0.000    0.000    0.035    0.002 axis.py:428(__init__)
      312    0.003    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:778(_compile_bytecode)
    23/22    0.029    0.001    0.034    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.034    0.034 _index_tricks_impl.py:1(<module>)
      312    0.032    0.000    0.032    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.031    0.031 defmatrix.py:1(<module>)
        1    0.000    0.000    0.031    0.031 __config__.py:1(<module>)
       21    0.001    0.000    0.031    0.001 path.py:607(get_extents)
        2    0.000    0.000    0.031    0.015 pyplot.py:1373(cla)
        2    0.000    0.000    0.031    0.015 _base.py:1418(cla)
      214    0.001    0.000    0.030    0.000 _compiler.py:738(compile)
        1    0.000    0.000    0.030    0.030 _linalg.py:1(<module>)
     1209    0.019    0.000    0.030    0.000 shape_base.py:295(hstack)
     2121    0.012    0.000    0.030    0.000 enum.py:250(__set_name__)
     5932    0.003    0.000    0.030    0.000 __init__.py:174(search)
        9    0.000    0.000    0.029    0.003 _base.py:747(__init_subclass__)
        1    0.000    0.000    0.028    0.028 colors.py:1(<module>)
        1    0.000    0.000    0.027    0.027 _fontconfig_pattern.py:1(<module>)
        8    0.000    0.000    0.027    0.003 axis.py:856(clear)
      741    0.006    0.000    0.027    0.000 artist.py:1188(_update_props)
        3    0.000    0.000    0.026    0.009 core.py:1(<module>)
  327/247    0.000    0.000    0.026    0.000 typing.py:426(inner)
   108066    0.020    0.000    0.025    0.000 {built-in method builtins.isinstance}
  196/132    0.001    0.000    0.025    0.000 spines.py:340(get_spine_transform)
       31    0.003    0.000    0.025    0.001 __init__.py:884(_rc_params_in_file)
  128/117    0.000    0.000    0.025    0.000 _docstring.py:122(__call__)
  196/132    0.000    0.000    0.025    0.000 spines.py:203(_ensure_position_is_set)
    16/12    0.000    0.000    0.025    0.002 spines.py:300(set_position)
        1    0.000    0.000    0.024    0.024 qt_compat.py:1(<module>)
        1    0.000    0.000    0.023    0.023 qt_compat.py:66(_setup_pyqt5plus)
      625    0.000    0.000    0.023    0.000 artist.py:1226(_internal_update)
91082/91022    0.018    0.000    0.023    0.000 {built-in method builtins.getattr}
      130    0.003    0.000    0.023    0.000 bezier.py:283(axis_aligned_extrema)
      135    0.003    0.000    0.023    0.000 lines.py:287(__init__)
     2002    0.010    0.000    0.022    0.000 {method 'sum' of 'numpy.generic' objects}
      460    0.001    0.000    0.022    0.000 artist.py:146(<lambda>)
      729    0.000    0.000    0.022    0.000 inspect.py:3338(signature)
      729    0.000    0.000    0.021    0.000 inspect.py:3062(from_callable)
      460    0.001    0.000    0.021    0.000 artist.py:1237(set)
      383    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
  864/729    0.003    0.000    0.021    0.000 inspect.py:2473(_signature_from_callable)
       14    0.000    0.000    0.021    0.001 _docstring.py:73(__missing__)
     2639    0.009    0.000    0.020    0.000 enum.py:350(__setitem__)
        1    0.000    0.000    0.019    0.019 art3d.py:1(<module>)
        2    0.000    0.000    0.019    0.009 figure.py:644(add_subplot)
        2    0.000    0.000    0.018    0.009 _base.py:579(__init__)
      980    0.001    0.000    0.018    0.000 __init__.py:748(__setitem__)
      214    0.000    0.000    0.018    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.018    0.018 _axes.py:67(Axes)
     10/5    0.000    0.000    0.018    0.004 deprecation.py:442(wrapper)
        5    0.000    0.000    0.018    0.004 pyplot.py:3919(scatter)
      281    0.000    0.000    0.018    0.000 markers.py:220(__init__)
        5    0.000    0.000    0.017    0.003 __init__.py:1518(inner)
  441/214    0.001    0.000    0.017    0.000 _parser.py:451(_parse_sub)
        5    0.000    0.000    0.017    0.003 _axes.py:4746(scatter)
      114    0.000    0.000    0.017    0.000 text.py:104(__init__)
  492/239    0.007    0.000    0.017    0.000 _parser.py:511(_parse)
      281    0.001    0.000    0.016    0.000 markers.py:299(_set_marker)
      353    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1547(find_spec)
      353    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1518(_get_spec)
       17    0.000    0.000    0.015    0.001 axis.py:1617(_copy_tick_props)
187301/186158    0.015    0.000    0.015    0.000 {built-in method builtins.len}
      696    0.005    0.000    0.015    0.000 inspect.py:2369(_signature_from_function)
        1    0.000    0.000    0.015    0.015 cm.py:1(<module>)
        1    0.001    0.001    0.014    0.014 backend_qt.py:567(__init__)
      260    0.001    0.000    0.014    0.000 typing.py:1423(__init__)
       74    0.000    0.000    0.014    0.000 __init__.py:287(compile)
      548    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1620(find_spec)
       51    0.000    0.000    0.014    0.000 lines.py:1338(update_from)
        2    0.000    0.000    0.014    0.007 core.py:198(read_style_directory)
      108    0.001    0.000    0.013    0.000 artist.py:784(set_clip_path)
        1    0.000    0.000    0.013    0.013 geo.py:1(<module>)
      208    0.003    0.000    0.013    0.000 _polynomial_impl.py:163(roots)
    85/58    0.006    0.000    0.013    0.000 backend_agg.py:248(_prepare_font)
   215/85    0.000    0.000    0.013    0.000 _base.py:928(get_xaxis_transform)
    10249    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
   206/80    0.000    0.000    0.013    0.000 _base.py:1010(get_yaxis_transform)
        8    0.000    0.000    0.012    0.002 axis.py:2234(_get_tick_boxes_siblings)
        1    0.000    0.000    0.012    0.012 Image.py:1(<module>)
      457    0.012    0.000    0.012    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.012    0.012 offsetbox.py:1(<module>)
     6879    0.007    0.000    0.012    0.000 inspect.py:2722(__init__)
  2975/51    0.005    0.000    0.012    0.000 copy.py:119(deepcopy)
        1    0.000    0.000    0.012    0.012 axis.py:1(<module>)
   204/51    0.001    0.000    0.012    0.000 copy.py:218(_deepcopy_dict)
  120/115    0.000    0.000    0.012    0.000 typing.py:574(__getitem__)
      115    0.000    0.000    0.012    0.000 typing.py:753(Union)
     2026    0.002    0.000    0.011    0.000 _methods.py:50(_sum)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
    89418    0.011    0.000    0.011    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.011    0.011 _dtype_like.py:1(<module>)
   101313    0.011    0.000    0.011    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.011    0.003 axis.py:2449(_update_label_position)
     1138    0.001    0.000    0.011    0.000 colors.py:277(to_rgba)
      214    0.000    0.000    0.011    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.011    0.011 backend_bases.py:2609(__init__)
      456    0.000    0.000    0.011    0.000 artist.py:1530(number_of_parameters)
        1    0.000    0.000    0.011    0.011 overrides.py:1(<module>)
      130    0.001    0.000    0.011    0.000 text.py:157(_reset_visual_defaults)
      200    0.000    0.000    0.011    0.000 pyplot.py:176(_copy_docstring_and_deprecators)
26780/26746    0.008    0.000    0.011    0.000 {built-in method builtins.hasattr}
     1433    0.007    0.000    0.010    0.000 shape_base.py:21(atleast_1d)
        1    0.000    0.000    0.010    0.010 lines.py:1(<module>)
      714    0.001    0.000    0.010    0.000 colors.py:223(is_color_like)
       60    0.000    0.000    0.010    0.000 typing.py:1446(__or__)
2755/2579    0.001    0.000    0.010    0.000 {built-in method builtins.next}
      136    0.000    0.000    0.010    0.000 patches.py:307(get_transform)
       40    0.000    0.000    0.010    0.000 axis.py:234(set_clip_path)
        1    0.000    0.000    0.010    0.010 polar.py:1(<module>)
     2028    0.004    0.000    0.010    0.000 copy.py:62(copy)
     2125    0.004    0.000    0.010    0.000 enum.py:1048(_add_member_)
        4    0.000    0.000    0.009    0.002 axis.py:2676(_update_label_position)
     7746    0.004    0.000    0.009    0.000 __init__.py:778(__getitem__)
        1    0.003    0.003    0.009    0.009 backend_qt.py:676(__init__)
     2516    0.009    0.000    0.009    0.000 {built-in method numpy.arange}
      426    0.000    0.000    0.009    0.000 rcsetup.py:332(validate_color)
       94    0.001    0.000    0.009    0.000 __init__.py:1447(_preprocess_data)
      265    0.003    0.000    0.009    0.000 typing.py:260(_collect_type_parameters)
      984    0.000    0.000    0.009    0.000 artist.py:1536(is_alias)
    46935    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
     1128    0.002    0.000    0.009    0.000 copy.py:248(_reconstruct)
      111    0.001    0.000    0.009    0.000 patches.py:800(get_patch_transform)
        1    0.000    0.000    0.008    0.008 textpath.py:1(<module>)
      114    0.008    0.000    0.008    0.000 lines.py:744(draw)
        2    0.000    0.000    0.008    0.004 __init__.py:326(__getattr__)
 1057/214    0.004    0.000    0.008    0.000 _compiler.py:37(_compile)
     4409    0.003    0.000    0.008    0.000 artist.py:1549(aliased_name)
        1    0.000    0.000    0.008    0.008 _char_codes.py:1(<module>)
       50    0.000    0.000    0.008    0.000 typing.py:580(__getitem__)
      100    0.000    0.000    0.008    0.000 pyplot.py:209(_add_pyplot_note)
        1    0.000    0.000    0.008    0.008 image.py:1(<module>)
        5    0.000    0.000    0.008    0.002 _base.py:2313(add_collection)
      199    0.001    0.000    0.008    0.000 colors.py:324(_to_rgba_no_colorcycle)
      704    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap>:304(acquire)
     1209    0.003    0.000    0.007    0.000 shape_base.py:216(_vhstack_dispatcher)
        1    0.000    0.000    0.007    0.007 font_manager.py:1(<module>)
16509/16502    0.006    0.000    0.007    0.000 {method 'join' of 'str' objects}
      312    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1210(get_data)
       50    0.001    0.000    0.007    0.000 typing.py:812(Literal)
        1    0.000    0.000    0.007    0.007 axis3d.py:1(<module>)
     2002    0.004    0.000    0.007    0.000 _twodim_base_impl.py:34(_min_int)
        1    0.000    0.000    0.007    0.007 pyplot.py:569(show)
        1    0.000    0.000    0.007    0.007 backend_bases.py:3520(show)
        1    0.000    0.000    0.007    0.007 backend_qt.py:643(show)
        1    0.001    0.001    0.007    0.007 {built-in method show}
     8933    0.003    0.000    0.007    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
        3    0.000    0.000    0.007    0.002 offsetbox.py:651(draw)
        8    0.000    0.000    0.007    0.001 spines.py:142(get_window_extent)
     1727    0.001    0.000    0.007    0.000 artist.py:414(pchanged)
  215/185    0.001    0.000    0.007    0.000 _base.py:851(_unstale_viewLim)
        1    0.000    0.000    0.007    0.007 colorizer.py:1(<module>)
      208    0.003    0.000    0.007    0.000 _linalg.py:1133(eigvals)
        1    0.000    0.000    0.007    0.007 ExifTags.py:1(<module>)
  906/862    0.001    0.000    0.006    0.000 contextlib.py:136(__enter__)
       24    0.000    0.000    0.006    0.000 axis.py:957(set_tick_params)
      265    0.001    0.000    0.006    0.000 overrides.py:142(decorator)
        1    0.000    0.000    0.006    0.006 quiver.py:1(<module>)
1771/1765    0.003    0.000    0.006    0.000 cbook.py:348(process)
    63604    0.006    0.000    0.006    0.000 {built-in method builtins.min}
        8    0.000    0.000    0.006    0.001 _base.py:3273(grid)
      116    0.000    0.000    0.006    0.000 text.py:194(update)
      385    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
       16    0.000    0.000    0.006    0.000 axis.py:1707(grid)
